,_id,product_name,review_content,review_date,review_star,review_writer
0,651a6d27e032f66c30e9354c,[한미양행] 로하비 프리미엄 밀크씨슬 이엑스 4개월분 간 건강 실리마린 간영양제,"유통기한 기한이 넉넉해요 포장상태 포장이 깔끔해요 효과 효과 좋아요
간영양제 검색하면 많이나오는데 성분은거기서 거기일테고 
좋아지기보다 현상유지되기만 바랄뿐",2023.09.10,5,jyh8***
1,651a6d27e032f66c30e9354d,[한미양행] 로하비 프리미엄 밀크씨슬 이엑스 4개월분 간 건강 실리마린 간영양제,"유통기한 기한이 넉넉해요 포장상태 포장이 깔끔해요 효과 효과 좋아요
여러번 구매해서 꾸준히 복용하고 있어요
가격도 저렴하고 목넘김도 부담없고 좋아요",2023.07.05,5,flor******
2,651a6d27e032f66c30e9354e,[한미양행] 로하비 프리미엄 밀크씨슬 이엑스 4개월분 간 건강 실리마린 간영양제,"유통기한 기한이 넉넉해요 포장상태 포장이 깔끔해요 효과 효과 좋아요
유통기한 24년 9월로 넉넉하고 대용량이라 부담없이 먹을 수 있어 좋아요.
상세보기",2023.07.16,5,kook***
3,651a6d27e032f66c30e9354f,[한미양행] 로하비 프리미엄 밀크씨슬 이엑스 4개월분 간 건강 실리마린 간영양제,"유통기한 기한이 넉넉해요 포장상태 포장이 깔끔해요 효과 효과 좋아요
가격대비 정말좋아요 배송도빠르고 좋아요 재구매 다시할게요 감사합니다 ",2023.07.28,5,1818***************
4,651a6d27e032f66c30e93550,[한미양행] 로하비 프리미엄 밀크씨슬 이엑스 4개월분 간 건강 실리마린 간영양제,"유통기한 보통이에요 포장상태 보통이에요 효과 보통이에요
괜춘합니다. 배송도 빠르고. 포장도 깔꿈 하고 ㅋ 
상세보기",2023.07.05,4,kara***
5,651a6d27e032f66c30e93551,[한미양행] 로하비 프리미엄 밀크씨슬 이엑스 4개월분 간 건강 실리마린 간영양제,"유통기한 기한이 넉넉해요 포장상태 포장이 깔끔해요 효과 효과 좋아요
늘 먹는데 간에 효과가 좋은 듯~~~
상세보기",2023.09.13,5,사랑은언제나
6,651a6d27e032f66c30e93552,[한미양행] 로하비 프리미엄 밀크씨슬 이엑스 4개월분 간 건강 실리마린 간영양제,"유통기한 기한이 넉넉해요 포장상태 포장이 깔끔해요 효과 보통이에요
비타민E  A 안들어있어 주문했어요  심각한 흡연가라서",2023.08.24,5,ljc2***
7,651a6d27e032f66c30e93553,[한미양행] 로하비 프리미엄 밀크씨슬 이엑스 4개월분 간 건강 실리마린 간영양제,"유통기한 기한이 넉넉해요 포장상태 포장이 깔끔해요 효과 보통이에요
가격도 싸고 아직 먹오보진 않았지만 좋겠지요머  많이파세요
상세보기",2023.08.09,5,opin***
8,651a6d27e032f66c30e93554,[한미양행] 로하비 프리미엄 밀크씨슬 이엑스 4개월분 간 건강 실리마린 간영양제,"유통기한 기한이 넉넉해요 포장상태 포장이 깔끔해요 효과 효과 좋아요
두번째 구매이고 몸의 변화가 있어 재구매 합니다^^ 추천해요^^
상세보기",2023.08.30,5,또이
9,651a6d27e032f66c30e93555,[한미양행] 로하비 프리미엄 밀크씨슬 이엑스 4개월분 간 건강 실리마린 간영양제,"유통기한 기한이 넉넉해요 포장상태 포장이 깔끔해요 효과 효과 좋아요
4개월 한통다먹고 또 주문했어요.
좋다니 챙겨 먹고있어요.
상세보기",2023.08.21,5,lyr5***
10,651a6d27e032f66c30e93556,[한미양행] 로하비 프리미엄 밀크씨슬 이엑스 4개월분 간 건강 실리마린 간영양제,"유통기한 보통이에요 포장상태 보통이에요 효과 보통이에요
가성비좋은제품 나중에 다시 구매할것 같아요",2023.07.15,4,roka******
11,651a6d27e032f66c30e93557,[한미양행] 로하비 프리미엄 밀크씨슬 이엑스 4개월분 간 건강 실리마린 간영양제,"유통기한 기한이 넉넉해요 포장상태 포장이 깔끔해요 효과 효과 좋아요
잘받았습니다
이번이 3번째 구매입니다
효과가 좋아요
잘먹겠습니다
상세보기",2023.07.26,5,skd1***
12,651a6d27e032f66c30e93558,[한미양행] 로하비 프리미엄 밀크씨슬 이엑스 4개월분 간 건강 실리마린 간영양제,"배송 빨라요 성능 성능이 뛰어나요 유통기한 기한이 넉넉해요
피로는 ‘간’때문이야!
간영양제 선택 로하비 추천드립니다!

안녕하세요, 꾸루 1기 졔졔입니다ㅎㅎ
간영양제 찾다가 로하비 회사 제품을 구매해보았는데, 
알약이 많이 크지 않아서 목넘김도 괜찮더라구요!

포장상태도 괜찮게 오고 만족스러워서 추천드립니다ㅎㅎ
더보기
상세보기",2020.06.18,5,졔졔
13,651a6d27e032f66c30e93559,[한미양행] 로하비 프리미엄 밀크씨슬 이엑스 4개월분 간 건강 실리마린 간영양제,"배송 빨라요 성능 성능이 뛰어나요 유통기한 기한이 넉넉해요
밀크씨슬 몇년째 꾸준히 복용하고 있는데, 확실히 안먹을 때하고 차이는 있습니다 피로감이 좀 덜하다고 해야하나.. 여튼, 갑자기 확 좋아지고 이런게아니라 서서히 몸이 좀 다르다는걸 느낄수 있습니다 기존에 먹던 상품이라 큰고민 안하고 구매했습니다 배송도 빠르고 상품도 좋습니다
상세보기
상세보기
상세보기",2020.07.14,5,kun4***
14,651a6d27e032f66c30e9355a,[한미양행] 로하비 프리미엄 밀크씨슬 이엑스 4개월분 간 건강 실리마린 간영양제,"배송 빨라요 성능 성능이 뛰어나요 유통기한 기한이 넉넉해요
주문하고 익일배송되어 빠르게 받아보았습니다.
유효기한은 23. 02. 26 까지예요.
타제품들과 다르게 색소가 들어있지 않은 제품이라 선택하였어요. 카라멜색소나 식용 몇 호 이런것들이요.
그리고 엽산, 아연, 셀레늄 함량도 일일권장량으로 타제품보다는 높게 들어있기도 했고 4개월분에 가격도 저렴하다 생각되었습니다. 
다만, 아연과 셀레늄의 형태는 산화아연과 아셀렌산나트륨으로 들어있으니 (해당 영양소 흡수율관련) 참고하세요. 부형제는 의견이 분분한데 이 부분은 개인의 분별력이 필요할 듯합니다. 저는 다양하게 여러제품 섞어먹지 않으면 괜찮겠다는 생각으로 주문하였어요.
상세보기
상세보기
상세보기
상세보기
상세보기
더보기",2021.10.07,5,제프
15,651a6d27e032f66c30e9355b,[한미양행] 로하비 프리미엄 밀크씨슬 이엑스 4개월분 간 건강 실리마린 간영양제,"배송 빨라요 성능 성능이 뛰어나요 유통기한 보통이에요
간 건강에 밀크씨슬이 좋대서 구입했어요. 찾아본바로 함량이 높은편이라 맘에들어요
상세보기",2020.07.04,5,여름가을겨울
