,_id,product_name,review_writer,review_date,review_star,review_content
0,650d8884b2af41f5ca5ba6aa,브리오 보라지오일 감마리놀렌산 300 / 오메가6 보라지유 달맞이꽃종자유 영양제 / 콜레스테롤 개선,지오됴됴,2021.03.19,5,"배송 빨라요 성능 보통이에요 유통기한 기한이 넉넉해요
감마리놀렌산이 여성에게 좋다해서 초록색창에서 엄청 비교해보다가 브리오로 결정했어요!
함량도 높고 제조과정이 마음에 들었어요
믿고 구매했는데 효과가 있으면 좋겠네요

알약 개봉시 터짐 주의에 따라 껍질부터 제거하고 먹는거 중☆☆요 습관처럼 눌러서 뜯다가 하나가 살짝 터져서 얼른 입으로 슝

다른 영양제 처럼 하나씩 뜯기게끔 실선이 있으면 좋겠어요
어디 들고 나갈 때 가위로 오려서 가요...ㅎㅎㅎ
더보기
상세보기
상세보기"
1,650d8884b2af41f5ca5ba6ab,브리오 보라지오일 감마리놀렌산 300 / 오메가6 보라지유 달맞이꽃종자유 영양제 / 콜레스테롤 개선,ju82**,2023.07.05,5,"유통기한 기한이 넉넉해요 포장상태 포장이 깔끔해요 효과 효과 좋아요
두번째 구입입니다 .월경 증후군에 효과가 있다고 해서  구입했습니다. 효과가 100프로 있는지는 잘 모르겠지만  어느정도 영향을 받는듯 합니다.
그래서 다시한번 주문 했습니다.
알약 크기는 큰편입니다. 
상세보기
상세보기
상세보기
판매자 답글
판매자
2023.07.17
안녕하세요 고객님^^
브리오 제품을 구매해주셔서 대단히 감사합니다. ^^ 
브리오 제품 드시고 고객님 건강에 많은 도움이 되셨으면 좋겠습니다. 
문의사항 있으시면 언제든지 연락주세요. ^^감사합니다. ^^ -(주)브리오 올림-
더보기"
2,650d8884b2af41f5ca5ba6ac,브리오 보라지오일 감마리놀렌산 300 / 오메가6 보라지유 달맞이꽃종자유 영양제 / 콜레스테롤 개선,sns2**,2023.09.20,5,"유통기한 기한이 넉넉해요 포장상태 포장이 깔끔해요 효과 효과 좋아요
유트브 보고 구매하게 되었는데

피부 염증에 좋네요
판매자 답글
판매자
2023.09.21
안녕하세요 고객님^^
브리오 제품을 구매해주셔서 대단히 감사합니다. ^^ 
브리오 제품 드시고 고객님 건강에 많은 도움이 되셨으면 좋겠습니다. 
문의사항 있으시면 언제든지 연락주세요. ^^감사합니다. ^^ -(주)브리오 올림-
더보기"
3,650d8884b2af41f5ca5ba6ad,브리오 보라지오일 감마리놀렌산 300 / 오메가6 보라지유 달맞이꽃종자유 영양제 / 콜레스테롤 개선,gus1***,2023.09.19,4,"유통기한 기한이 넉넉해요 포장상태 포장이 깔끔해요 효과 보통이에요
약이 좀 커요. 효과는 아직 모르겠어요.
상세보기
판매자 답글
판매자
2023.09.20
안녕하세요 고객님^^
브리오 제품을 구매해주셔서 대단히 감사합니다. ^^ 
브리오 제품 드시고 고객님 건강에 많은 도움이 되셨으면 좋겠습니다. 
문의사항 있으시면 언제든지 연락주세요. ^^감사합니다. ^^ -(주)브리오 올림-
더보기"
4,650d8884b2af41f5ca5ba6ae,브리오 보라지오일 감마리놀렌산 300 / 오메가6 보라지유 달맞이꽃종자유 영양제 / 콜레스테롤 개선,gksd******,2021.11.16,5,"배송 빨라요 성능 성능이 뛰어나요 유통기한 기한이 넉넉해요
우선 약통 케이스도 같이 보내달라고 했었는데, 금새 확인하시고 보내주셨어요. 그리고 배송도 총알배송입니당ㅎㅎ
알약크기는 작은 편은 아니에요. 
가로 길이가 2.5cm 정도이구요. 
말랑말랑하네요.
우선 저는 pms가 진짜 심해져서 다른 리뷰도 읽어보고 찾아보다가 구매했어요. 
원래 호주산 영양제로 먹었는데 약한거 같아서요 ㅠㅠㅠㅠ 원료들 성분이 달맞이꽃 종자유보다 보라지가 더 강하다고 하고, 또 영양제가 캐나다산이라 믿음직합니다. 
효과가 있었으면 좋겠습니다. 
가격이 싸다고 할 순 없겠지만, 효과만 있다면야 절반 가격대로 사서 먹어서 효과 미미한것 보단 좋다고 봅니다.
그럼 잘 복용해보겠습니다!! ㅎㅎ
닫기
상세보기
상세보기"
5,650d8884b2af41f5ca5ba6af,브리오 보라지오일 감마리놀렌산 300 / 오메가6 보라지유 달맞이꽃종자유 영양제 / 콜레스테롤 개선,ss19******,2020.09.15,4,"배송 보통이에요 성능 보통이에요 유통기한 기한이 넉넉해요
유통기간:23.3.11
곧 50을 바라보는 나이라 폐경 생각해서 찾던 중
함유량이 높은 제품이라하여 구매 했어요.
캡슐이 좀 커서 물을 여러번 마셔야해요.
모든 영양제가 그렇듯 꾸준히 복용해야
효과를 보겠죠?^^
일단 믿고 먹어보겠습니다^^
닫기
상세보기"
6,650d8884b2af41f5ca5ba6b0,브리오 보라지오일 감마리놀렌산 300 / 오메가6 보라지유 달맞이꽃종자유 영양제 / 콜레스테롤 개선,rich***,2022.05.18,4,"배송 빨라요 성능 보통이에요 유통기한 보통이에요
요즘 b6섭취가 필요할 것 같아 알아보다 달맞이종자유보다 보라지가 좋다해서 선택했구요. 건강한 반응이 있길 기대하며 섭취해 봅니다. 유통기한 2023년 3월이고 배송 빨랐습니다.
상세보기
상세보기"
7,650d8884b2af41f5ca5ba6b1,브리오 보라지오일 감마리놀렌산 300 / 오메가6 보라지유 달맞이꽃종자유 영양제 / 콜레스테롤 개선,라이브다라이브,2021.08.30,5,"배송 빨라요 성능 성능이 뛰어나요 유통기한 기한이 넉넉해요
계속 먹고있는 제품이에요!! 타제품에 비해 함량이 높아서 효과가 좋아요. pms에 도움이 많이 되고 갱년기인 엄마랑 같이 먹고 있어요!
상세보기"
8,650d8884b2af41f5ca5ba6b2,브리오 보라지오일 감마리놀렌산 300 / 오메가6 보라지유 달맞이꽃종자유 영양제 / 콜레스테롤 개선,지오됴됴,2021.05.12,4,"배송 보통이에요 성능 보통이에요 유통기한 기한이 넉넉해요
두통 다 먹고 또 재구매 해요~ 감마리놀렌산 중에서 함유량도 높고 제조과정도 괜찮은 편이라 믿고 복용 중이에요 ! 
개인 전화번호로 연락하면 치약을 주신다던데... 그냥 귀찮기도 하고 개인 번호로 연락하기도 그래서 사은품은 받기가 꺼려지네요 ㅠㅠ 여튼 잘 구매해서 먹고 있어요~
상세보기
상세보기"
9,650d8884b2af41f5ca5ba6b3,브리오 보라지오일 감마리놀렌산 300 / 오메가6 보라지유 달맞이꽃종자유 영양제 / 콜레스테롤 개선,wow3***,2023.01.26,5,"유통기한 기한이 넉넉해요 포장상태 포장이 깔끔해요 효과 보통이에요
갱년기가 생겨서 감마리놀렌산이 좋다하여
찾아보던중 성분이 좋아서 구매했어요~
효과가 있딜 바라며...
상세보기
상세보기"
